date,open,high,low,close,volume
2017-08-14,35850,36000,35450,35700,146005
2017-08-16,35350,35800,35000,35050,237889
2017-08-17,35000,35550,35000,35050,191091
2017-08-18,35000,35900,34950,35350,178605
2017-08-21,35350,35500,35150,35350,119200
2017-08-22,35100,35550,35100,35250,163037
2017-08-23,35150,35400,34850,34850,254795
2017-08-24,34650,35150,34600,34800,250564
2017-08-25,34950,35000,34700,34900,178338
2017-08-28,35000,35250,34900,35150,134578
2017-08-29,35050,35250,34700,35100,181401
2017-08-30,34800,35050,34700,34850,169167
2017-08-31,34700,34900,34500,34500,334559
2017-09-01,34500,34900,34400,34450,154455
2017-09-04,34400,34850,34200,34300,195888
2017-09-05,34700,34950,34450,34850,190089
2017-09-06,35000,35450,34800,35250,244774
2017-09-07,35600,35600,35200,35450,189842
2017-09-08,35150,35500,35050,35350,158492
2017-09-11,35500,36100,35300,35950,261062
2017-09-12,35950,36200,35400,35900,213384
2017-09-13,35700,35800,34850,34850,293557
2017-09-14,34850,35550,34850,35500,357118
2017-09-15,35500,35700,35150,35700,179081
2017-09-18,35150,35900,35150,35650,161324
2017-09-19,35300,35350,34600,34850,335101
2017-09-20,35000,35200,34700,35050,181774
2017-09-21,34800,35050,34400,34400,289023
2017-09-22,34050,34650,34000,34400,213486
2017-09-25,34600,34600,34050,34100,138033
2017-09-26,34650,34800,34050,34600,228251
2017-09-27,34400,34750,34200,34700,126850
2017-09-28,34250,34800,34100,34700,307132
2017-09-29,34950,35000,34500,35000,194685
2017-10-10,34800,35150,34500,34750,446804
2017-10-11,34300,34400,33750,34050,480135
2017-10-12,33850,34300,33850,34150,301349
2017-10-13,34150,34400,34100,34250,155230
2017-10-16,34250,34800,33900,34750,195889
2017-10-17,34600,34800,34000,34050,216533
2017-10-18,34050,34300,33800,33850,215024
2017-10-19,34000,34750,34000,34350,313710
2017-10-20,34400,34650,34050,34250,174314
2017-10-23,34100,34250,33800,33900,207053
2017-10-24,33900,34200,33850,34100,190669
2017-10-25,33800,34150,33800,33800,328611
2017-10-26,33700,34100,33650,33850,384217
2017-10-27,33900,34350,33900,34200,342397
2017-10-30,34500,34650,34100,34150,264069
2017-10-31,34000,34450,34000,34300,279068
2017-11-01,34000,34350,33950,34100,230214
2017-11-02,34000,34150,33900,34150,187676
2017-11-03,34350,34500,34200,34500,211972
2017-11-06,34500,34700,34200,34350,176655
2017-11-07,34100,34800,34100,34550,240035
2017-11-08,34350,34700,34200,34650,198360
2017-11-09,34800,36000,34650,35800,764273
2017-11-10,36250,36700,35600,35900,624779
2017-11-13,36000,36400,35600,35700,227190
2017-11-14,35750,37600,35450,37600,831991
2017-11-15,37600,38150,37450,37950,514554
2017-11-16,38100,38200,37050,38200,407952
2017-11-17,38000,38200,37500,38000,454906
2017-11-20,37700,38200,37600,38050,301818
2017-11-21,37950,38050,37500,37700,348382
2017-11-22,37650,37750,37200,37200,255709
2017-11-23,37050,38050,37000,37950,311630
2017-11-24,37950,37950,37450,37500,119674
2017-11-27,37400,37850,36650,36800,310721
2017-11-28,36950,37500,36750,37150,321277
2017-11-29,37350,37850,37000,37350,240455
2017-11-30,37950,38000,37150,37150,777580
2017-12-01,37150,37500,36650,36700,167567
2017-12-04,37300,37400,36900,37250,163584
2017-12-05,37100,37800,37100,37650,250320
2017-12-06,37900,38000,37200,37600,256703
2017-12-07,37900,37950,37700,37900,299655
2017-12-08,37950,38000,36500,36650,302300
2017-12-11,36250,37300,36250,36950,169721
2017-12-12,36400,37150,36350,36950,156683
2017-12-13,36900,37950,36900,37950,297400
2017-12-14,38000,39550,37850,38100,862140
2017-12-15,38200,38850,36600,36750,702129
2017-12-18,36450,36800,35300,36050,596926
2017-12-19,36100,36100,34900,35050,727128
2017-12-20,34900,35250,34800,35000,388044
2017-12-21,34750,35050,34750,34850,361388
2017-12-22,34950,34950,34550,34650,406974
2017-12-26,34650,35000,34650,34900,492858
2017-12-27,34500,34700,33500,34300,418422
2017-12-28,34400,34850,34250,34800,284580
2018-01-02,31950,32400,30850,32050,2012609
2018-01-03,31800,32350,31550,31950,922887
2018-01-04,32250,32250,31750,31750,630223
2018-01-05,31750,31850,30900,31200,763308
2018-01-08,31350,31750,31300,31550,469383
2018-01-09,31500,31800,31250,31750,423120
2018-01-10,31950,31950,31500,31650,512549
2018-01-11,31800,31800,31200,31200,448111
2018-01-12,31150,31500,31100,31400,304112
2018-01-15,31350,31500,31200,31250,236996
2018-01-16,31250,31750,31250,31700,262555
2018-01-17,31900,32600,31650,32550,617153
2018-01-18,32650,32700,31800,31850,356994
2018-01-19,32000,32350,31900,32350,263903
2018-01-22,32600,32700,32000,32300,355848
2018-01-23,32350,32900,32250,32900,374516
2018-01-24,32950,33350,32750,32850,373950
2018-01-25,32950,32950,32600,32850,335424
2018-01-26,32850,33150,32700,33050,277342
2018-01-29,33050,33650,32950,33400,343527
2018-01-30,33550,33600,32750,32750,335889
2018-01-31,32700,32700,31600,32450,373857
2018-02-01,32350,33600,32350,33200,378813
2018-02-02,33350,33500,32850,33400,417524
2018-02-05,33450,33450,32150,32200,351828
2018-02-06,31750,32000,31400,31850,432814
2018-02-07,31850,32300,31350,31450,367335
2018-02-08,31400,31800,31200,31400,366733
2018-02-09,30700,31000,29850,29850,781360
2018-02-12,29850,30300,29850,29850,586250
2018-02-13,29850,29900,28800,29500,1027073
2018-02-14,29500,29950,29450,29700,312909
2018-02-19,30100,30150,29700,30050,215203
2018-02-20,30050,30100,29550,29600,374890
2018-02-21,29800,29850,29250,29550,237744
2018-02-22,29300,29350,29050,29250,372145
2018-02-23,29350,29400,28800,29050,377478
2018-02-26,29150,29350,29050,29250,311002
2018-02-27,29300,29650,29250,29350,379619
2018-02-28,29300,29350,28800,28850,983630
2018-03-02,28900,28950,28300,28400,510322
2018-03-05,28200,28600,28000,28050,274231
2018-03-06,28300,28900,28200,28700,384809
2018-03-07,28450,29000,28400,28750,355051
2018-03-08,28950,29050,28700,28950,496873
2018-03-09,29000,29400,28800,29200,448959
2018-03-12,29500,29550,28750,28800,452082
2018-03-13,28550,28800,28350,28450,360628
2018-03-14,28300,28550,28100,28400,254157
2018-03-15,28500,28700,28200,28500,385737
2018-03-16,28250,28750,28050,28050,733383
2018-03-19,28150,28200,27850,27950,460752
2018-03-20,27800,27950,27700,27900,289716
2018-03-21,27900,28600,27900,28300,450313
2018-03-22,28400,28950,28300,28400,374674
2018-03-23,28100,28150,27250,27400,547057
2018-03-26,27400,27550,27100,27350,282002
2018-03-27,27400,27800,27350,27550,324619
2018-03-28,27300,27750,27300,27650,207976
2018-03-29,27500,27600,26900,27250,415710
2018-03-30,27500,28300,27200,28200,487873
2018-04-02,28550,28850,28500,28500,454828
2018-04-03,28050,28500,28000,28350,420610
2018-04-04,28350,28850,28350,28450,825745
2018-04-05,28600,28800,28100,28200,291595
2018-04-06,28250,28250,27700,27900,314119
2018-04-09,27550,27850,27550,27600,428194
2018-04-10,27400,27600,27250,27400,515497
2018-04-11,27250,27400,27150,27200,440256
2018-04-12,27150,27250,26850,26850,616156
2018-04-13,26800,26850,25750,26100,1503329
2018-04-16,26100,26550,26050,26450,1368686
2018-04-17,26550,27300,26550,27100,1837989
2018-04-18,27250,27950,27200,27800,1257719
2018-04-19,27700,28000,27300,27600,628264
2018-04-20,28000,28950,28000,28750,1890896
2018-04-23,28800,29150,28350,28750,1913266
2018-04-24,29250,30100,28950,29550,1050907
2018-04-25,29600,29600,29000,29450,582024
2018-04-26,29750,30000,28900,29000,575419
2018-04-27,28900,29350,28650,28950,456344
2018-04-30,28800,29050,28550,28900,295825
2018-05-02,29250,29650,28950,29250,455852
2018-05-03,29500,29550,28950,29150,617097
2018-05-04,29150,29200,28650,29050,567701
2018-05-08,29200,29650,28900,29000,468307
2018-05-09,29200,29200,28500,28650,270384
2018-05-10,28550,28900,28000,28650,565948
2018-05-11,28150,28800,28000,28650,374550
2018-05-14,28650,28750,27600,27950,627120
2018-05-15,27900,28100,27750,27950,393840
2018-05-16,28000,28050,27500,27600,431546
2018-05-17,27500,28050,27300,27950,403061
2018-05-18,27950,28150,27700,28150,405153
2018-05-21,28200,28300,27950,27950,166919
2018-05-23,27700,27900,27450,27450,426265
2018-05-24,27400,27800,27400,27600,286210
2018-05-25,27800,27900,27300,27500,244690
